name,lng,lat,region
Ñiquen,-71.9000000,-36.3000000,Bio Bio
El Carmen,-72.0323130,-36.8994440,Bio Bio
Coihueco,-71.8333333,-36.6166667,Bio Bio
Cobquecura,-72.7833333,-36.1333333,Bio Bio
Chillan,-72.1166667,-36.6000000,Bio Bio
Yumbel,-72.5333333,-37.1333333,Bio Bio
Santa Barbara,-72.0166667,-37.6666667,Bio Bio
Quilleco,-71.9666667,-37.4666667,Bio Bio
Negrete,-72.5166667,-37.5833333,Bio Bio
Mulchen,-72.2333333,-37.7166667,Bio Bio
Cabrero,-72.4000000,-37.0333333,Bio Bio
Los Angeles,-72.3500000,-37.4666667,Bio Bio
Los Alamos,-73.4666667,-37.6166667,Bio Bio
Contulmo,-73.2333333,-38.0000000,Bio Bio
Arauco,-73.3166667,-37.2500000,Bio Bio
Hualpen,-73.0833333,-36.7833333,Bio Bio
Talcahuano,-73.1166667,-36.7166667,Bio Bio
San Pedro de la Paz,-73.1166667,-36.8333333,Bio Bio
Lota,-73.1560560,-37.0870730,Bio Bio
Florida,-72.6666667,-36.8166667,Bio Bio
Coronel,-73.1333333,-37.0166667,Bio Bio
Temuco,-72.6666667,-38.7500000,Araucania
Cunco,-72.0333333,-38.9166667,Araucania
Freire,-72.6333333,-38.9500000,Araucania
Gorbea,-72.6833333,-39.1000000,Araucania
Loncoche,-72.6333333,-39.3666667,Araucania
Nueva Imperial,-72.9500000,-38.7333333,Araucania
Perquenco,-72.3833333,-38.4166667,Araucania
Pucon,-71.9666667,-39.2666667,Araucania
Teodoro Schmidt,-73.0500000,-38.9666667,Araucania
Vilcun,-72.3794444,-39.1183333,Araucania
Cholchol,-72.8500000,-38.6000000,Araucania
Collipulli,-72.4333333,-37.9500000,Araucania
Ercilla,-72.3833333,-38.0500000,Araucania
Los Sauces,-72.8333333,-37.9666667,Araucania
Puren,-73.0833333,-38.0166667,Araucania
Traiguen,-72.6833333,-38.2500000,Araucania
Carahue,-73.1666667,-38.7000000,Araucania
Curarrehue,-71.5833333,-39.3500000,Araucania
Galvarino,-72.7833333,-38.4000000,Araucania
Lautaro,-72.4350000,-38.5291667,Araucania
Padre Las Casas,-72.6000000,-38.7666667,Araucania
Pitrufquen,-72.6500000,-38.9833333,Araucania
Tolten,-73.2333333,-39.2166667,Araucania
Villarrica,-72.2166667,-39.2666667,Araucania
Angol,-72.7166667,-37.8000000,Araucania
Curacautin,-71.8833333,-38.4333333,Araucania
Lonquimay,-71.2333333,-38.4333333,Araucania
Lumaco,-72.9166667,-38.1500000,Araucania
Renaico,-72.5833333,-37.6666667,Araucania
Victoria,-72.3333333,-38.2166667,Araucania
Saavedra,-73.4000000,-38.7833333,Araucania
Melipeuco,-71.7000000,-38.8500000,Araucania
Valdivia,-73.2333333,-39.8000000,Los Rios
Corral,-73.4333333,-39.8666667,Los Rios
Lanco,-72.7666667,-39.4333333,Los Rios
Los Lagos,-72.8333333,-39.8500000,Los Rios
Mafil,-72.9500000,-39.6500000,Los Rios
Mariquina,-72.9666667,-39.5166667,Los Rios
Paillaco,-72.8833333,-40.0666667,Los Rios
Panguipulli,-72.3333333,-39.6333333,Los Rios
La Union,-73.0833333,-40.2833333,Los Rios
Futrono,-72.4000000,-40.1333333,Los Rios
Lago Ranco,-72.5000000,-40.3166667,Los Rios
Rio Bueno,-72.9666667,-40.3166667,Los Rios
Puerto Montt,-72.9333333,-41.4666667,Los Lagos
Cochamo,-72.3166667,-41.5000000,Los Lagos
Frutillar,-73.1000000,-41.1166667,Los Lagos
Puerto Varas,-72.9833333,-41.3166667,Los Lagos
Ancud,-73.8333333,-41.8666667,Los Lagos
Curaco de Velez,-73.5833333,-42.4333333,Los Lagos
Puqueldon,-73.6333333,-42.5833333,Los Lagos
Quellon,-73.6000000,-43.1000000,Los Lagos
Quinchao,-73.4166667,-42.5333333,Los Lagos
Puerto Octay,-72.9000000,-40.9666667,Los Lagos
Puyehue,-72.6166667,-40.6666667,Los Lagos
Hualaihue,-72.6833333,-42.0166667,Los Lagos
Chaiten,-72.7088889,-42.9194444,Los Lagos
San Juan de la Costa,-73.4000000,-40.5166667,Los Lagos
Llanquihue,-73.0166667,-41.2500000,Los Lagos
Calbuco,-73.1333333,-41.7666667,Los Lagos
Fresia,-73.4500000,-41.1500000,Los Lagos
Los Muermos,-73.4833333,-41.4000000,Los Lagos
Maullin,-73.6000000,-41.6166667,Los Lagos
Castro,-73.8000000,-42.4666667,Los Lagos
Queilen,-73.4666667,-42.8666667,Los Lagos
Quemchi,-73.5166667,-42.1333333,Los Lagos
Osorno,-73.1500000,-40.5666667,Los Lagos
Purranque,-73.1666667,-40.9166667,Los Lagos
Rio Negro,-73.2333333,-40.7833333,Los Lagos
San Pablo,-73.0166667,-40.4000000,Los Lagos
Futaleufu,-71.8500000,-43.1666667,Los Lagos
Palena,-71.8000000,-43.6166667,Los Lagos
Dalcahue,-73.7000000,-42.3666667,Los Lagos
Chonchi,-73.8166667,-42.6166667,Los Lagos
Coyhaique,-72.0666667,-45.5666667,Aysen
Aisen,-72.7000000,-45.4000000,Aysen
Guaitecas,-73.7333333,-43.8833333,Aysen
O'Higgins,-72.5666667,-48.4666667,Aysen
Chile Chico,-71.7333333,-46.5500000,Aysen
Lago Verde,-71.8333333,-44.2333333,Aysen
Cisnes,-72.7000000,-44.7500000,Aysen
Cochrane,-72.5500000,-47.2666667,Aysen
Tortel,-73.5666667,-47.8333333,Aysen
Rio Ibañez,-71.9333333,-46.3000000,Aysen
Punta Arenas,-70.9336111,-53.1669444,Magallanes
Rio Verde,-71.4833333,-52.6500000,Magallanes
Cabo de Hornos,-67.6166667,-54.9333333,Magallanes
Porvenir,-70.3666667,-53.3000000,Magallanes
Timaukel,-69.9000000,-53.6666667,Magallanes
Torres del Paine,-72.3500000,-51.2666667,Magallanes
Natales,-72.5166667,-51.7333333,Magallanes
Puerto Natales,-72.5166667,-51.7333333,Magallanes
Primavera,-69.2500000,-52.7166667,Magallanes
Antártica,-71.5000000,-75.0000000,Magallanes
San Gregorio,-69.6833333,-52.3166667,Magallanes
Laguna Blanca,-71.9166667,-52.2500000,Magallanes
Alhue,-34.0278,-71.1164,Metropolitana
